trade_date,active_member_count,suspended_member_count,daily_bar_coverage,daily_basic_coverage,industry_coverage,limit_price_coverage,minimum_coverage,passed,issue
2021-09-01,500,1,1.0,1.0,0.994,1.0,0.994,True,
2021-09-02,500,2,1.0,1.0,0.994,1.0,0.994,True,
2021-09-03,500,2,1.0,1.0,0.994,1.0,0.994,True,
2021-09-06,500,2,1.0,1.0,0.994,1.0,0.994,True,
2021-09-07,500,2,1.0,1.0,0.994,1.0,0.994,True,
2021-09-08,500,2,1.0,1.0,0.994,1.0,0.994,True,
2021-09-09,500,2,1.0,1.0,0.994,1.0,0.994,True,
2021-09-10,500,2,1.0,1.0,0.994,1.0,0.994,True,
2021-09-13,500,1,1.0,1.0,0.996,0.998,0.996,True,
2021-09-14,500,1,1.0,0.998,0.996,0.998,0.996,True,
2021-09-15,500,1,1.0,0.998,0.996,0.998,0.996,True,
2021-09-16,500,2,1.0,0.998,0.996,0.998,0.996,True,
2021-09-17,500,2,1.0,0.998,0.996,0.998,0.996,True,
2021-09-22,500,2,1.0,0.998,0.996,0.998,0.996,True,
2021-09-23,500,2,1.0,0.998,0.996,0.998,0.996,True,
2021-09-24,500,3,1.0,0.998,0.996,0.998,0.996,True,
2021-09-27,500,2,1.0,0.998,0.996,0.998,0.996,True,
2021-09-28,500,0,1.0,1.0,0.998,1.0,0.998,True,
2021-09-29,500,0,1.0,1.0,0.998,1.0,0.998,True,
2021-09-30,500,1,1.0,1.0,0.998,1.0,0.998,True,
2021-10-08,500,1,1.0,1.0,0.998,1.0,0.998,True,
2021-10-11,500,1,1.0,1.0,0.998,1.0,0.998,True,
2021-10-12,500,1,1.0,1.0,0.998,1.0,0.998,True,
2021-10-13,500,1,1.0,1.0,0.998,1.0,0.998,True,
2021-10-14,500,1,1.0,1.0,0.998,1.0,0.998,True,
2021-10-15,500,1,1.0,1.0,0.998,1.0,0.998,True,
2021-10-18,500,1,1.0,1.0,0.998,1.0,0.998,True,
2021-10-19,500,1,1.0,1.0,0.998,1.0,0.998,True,
2021-10-20,500,2,1.0,1.0,0.998,1.0,0.998,True,
2021-10-21,500,1,1.0,1.0,0.998,1.0,0.998,True,
2021-10-22,500,1,1.0,1.0,0.998,1.0,0.998,True,
2021-10-25,500,1,1.0,1.0,0.998,1.0,0.998,True,
2021-10-26,500,1,1.0,1.0,0.998,1.0,0.998,True,
2021-10-27,500,0,1.0,1.0,0.998,1.0,0.998,True,
2021-10-28,500,0,1.0,1.0,0.998,1.0,0.998,True,
2021-10-29,500,0,1.0,1.0,0.998,1.0,0.998,True,
2021-11-01,500,0,1.0,1.0,0.998,1.0,0.998,True,
2021-11-02,500,0,1.0,1.0,0.998,1.0,0.998,True,
2021-11-03,500,0,1.0,1.0,0.998,1.0,0.998,True,
2021-11-04,500,0,1.0,1.0,0.998,1.0,0.998,True,
2021-11-05,500,0,1.0,1.0,0.998,1.0,0.998,True,
2021-11-08,500,0,1.0,1.0,0.998,1.0,0.998,True,
2021-11-09,500,0,1.0,1.0,0.998,1.0,0.998,True,
2021-11-10,500,0,1.0,1.0,0.998,1.0,0.998,True,
2021-11-11,500,0,1.0,1.0,0.998,1.0,0.998,True,
2021-11-12,500,0,1.0,1.0,0.998,1.0,0.998,True,
2021-11-15,500,0,1.0,1.0,0.998,1.0,0.998,True,
2021-11-16,500,0,1.0,1.0,0.998,1.0,0.998,True,
2021-11-17,500,0,1.0,1.0,0.998,1.0,0.998,True,
2021-11-18,500,0,1.0,1.0,0.998,1.0,0.998,True,
2021-11-19,500,0,1.0,1.0,0.998,1.0,0.998,True,
2021-11-22,500,0,1.0,1.0,0.998,1.0,0.998,True,
2021-11-23,500,0,1.0,1.0,0.998,1.0,0.998,True,
2021-11-24,500,0,1.0,1.0,0.998,1.0,0.998,True,
2021-11-25,500,0,1.0,1.0,0.998,1.0,0.998,True,
2021-11-26,500,1,1.0,1.0,0.998,1.0,0.998,True,
2021-11-29,500,1,1.0,1.0,0.998,1.0,0.998,True,
2021-11-30,500,1,1.0,1.0,0.998,1.0,0.998,True,
2021-12-01,500,1,1.0,1.0,0.998,1.0,0.998,True,
2021-12-02,500,1,1.0,1.0,0.998,1.0,0.998,True,
2021-12-03,500,2,1.0,1.0,0.998,1.0,0.998,True,
2021-12-06,500,1,1.0,1.0,0.998,1.0,0.998,True,
2021-12-07,500,1,1.0,1.0,0.998,1.0,0.998,True,
2021-12-08,500,1,1.0,1.0,0.998,1.0,0.998,True,
2021-12-09,500,1,1.0,1.0,0.998,1.0,0.998,True,
2021-12-10,500,1,1.0,1.0,0.998,1.0,0.998,True,
2021-12-13,500,0,1.0,1.0,0.998,1.0,0.998,True,
2021-12-14,500,0,1.0,1.0,0.998,1.0,0.998,True,
2021-12-15,500,1,1.0,1.0,0.998,1.0,0.998,True,
2021-12-16,500,1,1.0,1.0,0.998,1.0,0.998,True,
2021-12-17,500,1,1.0,1.0,0.998,1.0,0.998,True,
2021-12-20,500,2,1.0,1.0,0.998,1.0,0.998,True,
2021-12-21,500,2,1.0,1.0,0.998,1.0,0.998,True,
2021-12-22,500,2,1.0,1.0,0.998,1.0,0.998,True,
2021-12-23,500,1,1.0,1.0,0.998,1.0,0.998,True,
2021-12-24,500,1,1.0,1.0,0.998,1.0,0.998,True,
2021-12-27,500,1,1.0,1.0,0.998,1.0,0.998,True,
2021-12-28,500,1,1.0,1.0,0.998,1.0,0.998,True,
2021-12-29,500,1,1.0,1.0,0.998,1.0,0.998,True,
2021-12-30,500,1,1.0,1.0,0.998,1.0,0.998,True,
2021-12-31,500,1,1.0,1.0,0.998,1.0,0.998,True,
2022-01-04,500,0,1.0,1.0,0.998,1.0,0.998,True,
2022-01-05,500,1,1.0,1.0,0.998,1.0,0.998,True,
2022-01-06,500,1,1.0,1.0,0.998,1.0,0.998,True,
2022-01-07,500,1,1.0,1.0,0.998,1.0,0.998,True,
2022-01-10,500,1,1.0,1.0,0.998,1.0,0.998,True,
2022-01-11,500,1,1.0,1.0,0.998,1.0,0.998,True,
2022-01-12,500,1,1.0,1.0,0.998,1.0,0.998,True,
2022-01-13,500,0,1.0,1.0,0.998,1.0,0.998,True,
2022-01-14,500,1,1.0,1.0,0.998,1.0,0.998,True,
2022-01-17,500,2,1.0,1.0,0.998,1.0,0.998,True,
2022-01-18,500,2,1.0,1.0,0.998,1.0,0.998,True,
2022-01-19,500,2,1.0,1.0,0.998,1.0,0.998,True,
2022-01-20,500,2,1.0,1.0,0.998,1.0,0.998,True,
2022-01-21,500,2,1.0,1.0,0.998,1.0,0.998,True,
2022-01-24,500,2,1.0,1.0,0.998,1.0,0.998,True,
2022-01-25,500,2,1.0,1.0,0.998,1.0,0.998,True,
2022-01-26,500,2,1.0,1.0,0.998,1.0,0.998,True,
2022-01-27,500,2,1.0,1.0,0.998,1.0,0.998,True,
2022-01-28,500,1,1.0,1.0,0.998,1.0,0.998,True,
2022-02-07,500,0,1.0,1.0,0.998,1.0,0.998,True,
2022-02-08,500,0,1.0,1.0,0.998,1.0,0.998,True,
2022-02-09,500,0,1.0,1.0,0.998,1.0,0.998,True,
2022-02-10,500,0,1.0,1.0,0.998,1.0,0.998,True,
2022-02-11,500,0,1.0,1.0,0.998,1.0,0.998,True,
2022-02-14,500,0,1.0,1.0,0.998,1.0,0.998,True,
2022-02-15,500,0,1.0,1.0,0.998,1.0,0.998,True,
2022-02-16,500,1,1.0,1.0,0.998,1.0,0.998,True,
2022-02-17,500,1,1.0,1.0,0.998,1.0,0.998,True,
2022-02-18,500,1,1.0,1.0,0.998,1.0,0.998,True,
2022-02-21,500,1,1.0,1.0,0.998,1.0,0.998,True,
2022-02-22,500,2,1.0,1.0,0.998,1.0,0.998,True,
2022-02-23,500,2,1.0,1.0,0.998,1.0,0.998,True,
2022-02-24,500,1,1.0,1.0,0.998,1.0,0.998,True,
2022-02-25,500,1,1.0,1.0,0.998,1.0,0.998,True,
2022-02-28,500,2,1.0,1.0,0.998,1.0,0.998,True,
2022-03-01,500,1,1.0,1.0,0.998,1.0,0.998,True,
2022-03-02,500,2,1.0,1.0,0.998,1.0,0.998,True,
2022-03-03,500,1,1.0,1.0,0.998,1.0,0.998,True,
2022-03-04,500,1,1.0,1.0,0.998,1.0,0.998,True,
2022-03-07,500,2,1.0,1.0,0.998,1.0,0.998,True,
2022-03-08,500,2,1.0,1.0,0.998,1.0,0.998,True,
2022-03-09,500,2,1.0,1.0,0.998,1.0,0.998,True,
2022-03-10,500,2,1.0,1.0,0.998,1.0,0.998,True,
2022-03-11,500,2,1.0,1.0,0.998,1.0,0.998,True,
2022-03-14,500,0,1.0,1.0,0.998,1.0,0.998,True,
2022-03-15,500,0,1.0,1.0,0.998,1.0,0.998,True,
2022-03-16,500,0,1.0,1.0,0.998,1.0,0.998,True,
2022-03-17,500,0,1.0,1.0,0.998,1.0,0.998,True,
2022-03-18,500,0,1.0,1.0,0.998,1.0,0.998,True,
2022-03-21,500,0,1.0,1.0,0.998,1.0,0.998,True,
2022-03-22,500,0,1.0,1.0,0.998,1.0,0.998,True,
2022-03-23,500,0,1.0,1.0,0.998,1.0,0.998,True,
2022-03-24,500,0,1.0,1.0,0.998,1.0,0.998,True,
2022-03-25,500,0,1.0,1.0,0.998,1.0,0.998,True,
2022-03-28,500,0,1.0,1.0,0.998,1.0,0.998,True,
2022-03-29,500,0,1.0,1.0,0.998,1.0,0.998,True,
2022-03-30,500,0,1.0,1.0,0.998,1.0,0.998,True,
2022-03-31,500,0,1.0,1.0,0.998,1.0,0.998,True,
2022-04-01,500,0,1.0,1.0,0.998,1.0,0.998,True,
2022-04-06,500,0,1.0,1.0,0.998,1.0,0.998,True,
2022-04-07,500,0,1.0,1.0,0.998,1.0,0.998,True,
2022-04-08,500,0,1.0,1.0,0.998,1.0,0.998,True,
2022-04-11,500,0,1.0,1.0,0.998,1.0,0.998,True,
2022-04-12,500,0,1.0,1.0,0.998,1.0,0.998,True,
2022-04-13,500,0,1.0,1.0,0.998,1.0,0.998,True,
2022-04-14,500,0,1.0,1.0,0.998,1.0,0.998,True,
2022-04-15,500,0,1.0,1.0,0.998,1.0,0.998,True,
2022-04-18,500,1,1.0,1.0,0.998,1.0,0.998,True,
2022-04-19,500,1,1.0,1.0,0.998,1.0,0.998,True,
2022-04-20,500,1,1.0,1.0,0.998,1.0,0.998,True,
2022-04-21,500,1,1.0,1.0,0.998,1.0,0.998,True,
2022-04-22,500,1,1.0,1.0,0.998,1.0,0.998,True,
2022-04-25,500,1,1.0,1.0,0.998,1.0,0.998,True,
2022-04-26,500,1,1.0,1.0,0.998,1.0,0.998,True,
2022-04-27,500,1,1.0,1.0,0.998,1.0,0.998,True,
2022-04-28,500,1,1.0,1.0,0.998,1.0,0.998,True,
2022-04-29,500,1,1.0,1.0,0.998,1.0,0.998,True,
2022-05-05,500,0,1.0,1.0,0.998,1.0,0.998,True,
2022-05-06,500,0,1.0,1.0,0.998,1.0,0.998,True,
2022-05-09,500,0,1.0,1.0,0.998,1.0,0.998,True,
2022-05-10,500,0,1.0,1.0,0.998,1.0,0.998,True,
2022-05-11,500,0,1.0,1.0,0.998,1.0,0.998,True,
2022-05-12,500,0,1.0,1.0,0.998,1.0,0.998,True,
2022-05-13,500,0,1.0,1.0,0.998,1.0,0.998,True,
2022-05-16,500,0,1.0,1.0,0.998,1.0,0.998,True,
2022-05-17,500,0,1.0,1.0,0.998,1.0,0.998,True,
2022-05-18,500,0,1.0,1.0,0.998,1.0,0.998,True,
2022-05-19,500,0,1.0,1.0,0.998,1.0,0.998,True,
2022-05-20,500,0,1.0,1.0,0.998,1.0,0.998,True,
2022-05-23,500,0,1.0,1.0,0.998,1.0,0.998,True,
2022-05-24,500,0,1.0,1.0,0.998,1.0,0.998,True,
2022-05-25,500,1,1.0,1.0,0.998,1.0,0.998,True,
2022-05-26,500,1,1.0,1.0,0.998,1.0,0.998,True,
2022-05-27,500,3,1.0,1.0,0.998,1.0,0.998,True,
2022-05-30,500,3,1.0,1.0,0.998,1.0,0.998,True,
2022-05-31,500,2,1.0,1.0,0.998,1.0,0.998,True,
2022-06-01,500,3,1.0,1.0,0.998,1.0,0.998,True,
2022-06-02,500,3,1.0,1.0,0.998,1.0,0.998,True,
2022-06-06,500,3,1.0,1.0,0.998,1.0,0.998,True,
2022-06-07,500,3,1.0,1.0,0.998,1.0,0.998,True,
2022-06-08,500,3,1.0,1.0,0.998,1.0,0.998,True,
2022-06-09,500,3,1.0,1.0,0.998,1.0,0.998,True,
2022-06-10,500,3,1.0,1.0,0.998,1.0,0.998,True,
2022-06-13,500,2,1.0,1.0,0.998,1.0,0.998,True,
2022-06-14,500,2,1.0,1.0,0.998,1.0,0.998,True,
2022-06-15,500,2,1.0,1.0,0.998,1.0,0.998,True,
2022-06-16,500,2,1.0,1.0,0.998,1.0,0.998,True,
2022-06-17,500,2,1.0,1.0,0.998,1.0,0.998,True,
2022-06-20,500,1,1.0,1.0,0.998,1.0,0.998,True,
2022-06-21,500,1,1.0,1.0,0.998,1.0,0.998,True,
2022-06-22,500,1,1.0,1.0,0.998,1.0,0.998,True,
2022-06-23,500,1,1.0,1.0,0.998,1.0,0.998,True,
2022-06-24,500,1,1.0,1.0,0.998,1.0,0.998,True,
2022-06-27,500,1,1.0,1.0,0.998,1.0,0.998,True,
2022-06-28,500,1,1.0,1.0,0.998,1.0,0.998,True,
2022-06-29,500,1,1.0,1.0,0.998,1.0,0.998,True,
2022-06-30,500,1,1.0,1.0,0.998,1.0,0.998,True,
2022-07-01,500,1,1.0,1.0,0.998,1.0,0.998,True,
2022-07-04,500,1,1.0,1.0,0.998,1.0,0.998,True,
2022-07-05,500,1,1.0,1.0,0.998,1.0,0.998,True,
2022-07-06,500,1,1.0,1.0,0.998,1.0,0.998,True,
2022-07-07,500,1,1.0,1.0,0.998,1.0,0.998,True,
2022-07-08,500,1,1.0,1.0,0.998,1.0,0.998,True,
2022-07-11,500,1,1.0,1.0,0.998,1.0,0.998,True,
2022-07-12,500,1,1.0,1.0,0.998,1.0,0.998,True,
2022-07-13,500,1,1.0,1.0,0.998,1.0,0.998,True,
2022-07-14,500,0,1.0,1.0,0.998,1.0,0.998,True,
2022-07-15,500,0,1.0,1.0,0.998,1.0,0.998,True,
2022-07-18,500,0,1.0,1.0,0.998,1.0,0.998,True,
2022-07-19,500,0,1.0,1.0,0.998,1.0,0.998,True,
2022-07-20,500,0,1.0,1.0,0.998,1.0,0.998,True,
2022-07-21,500,0,1.0,1.0,0.998,1.0,0.998,True,
2022-07-22,500,0,1.0,1.0,0.998,1.0,0.998,True,
2022-07-25,500,1,1.0,1.0,0.998,1.0,0.998,True,
2022-07-26,500,1,1.0,1.0,0.998,1.0,0.998,True,
2022-07-27,500,0,1.0,1.0,0.998,1.0,0.998,True,
2022-07-28,500,0,1.0,1.0,0.998,1.0,0.998,True,
2022-07-29,500,0,1.0,1.0,0.998,1.0,0.998,True,
2022-08-01,500,0,1.0,1.0,0.998,1.0,0.998,True,
2022-08-02,500,0,1.0,1.0,0.998,1.0,0.998,True,
2022-08-03,500,0,1.0,1.0,0.998,1.0,0.998,True,
2022-08-04,500,0,1.0,1.0,0.998,1.0,0.998,True,
2022-08-05,500,0,1.0,1.0,0.998,1.0,0.998,True,
2022-08-08,500,0,1.0,1.0,0.998,1.0,0.998,True,
2022-08-09,500,0,1.0,1.0,0.998,1.0,0.998,True,
2022-08-10,500,0,1.0,1.0,0.998,1.0,0.998,True,
2022-08-11,500,0,1.0,1.0,0.998,1.0,0.998,True,
2022-08-12,500,0,1.0,1.0,0.998,1.0,0.998,True,
2022-08-15,500,1,1.0,1.0,0.998,1.0,0.998,True,
2022-08-16,500,1,1.0,1.0,0.998,1.0,0.998,True,
2022-08-17,500,1,1.0,1.0,0.998,1.0,0.998,True,
2022-08-18,500,1,1.0,1.0,0.998,1.0,0.998,True,
2022-08-19,500,1,1.0,1.0,0.998,1.0,0.998,True,
2022-08-22,500,1,1.0,1.0,0.998,1.0,0.998,True,
2022-08-23,500,1,1.0,1.0,0.998,1.0,0.998,True,
2022-08-24,500,1,1.0,1.0,0.998,1.0,0.998,True,
2022-08-25,500,1,1.0,1.0,0.998,1.0,0.998,True,
2022-08-26,500,1,1.0,1.0,0.998,1.0,0.998,True,
2022-08-29,500,0,1.0,1.0,0.998,1.0,0.998,True,
2022-08-30,500,0,1.0,1.0,0.998,1.0,0.998,True,
2022-08-31,500,0,1.0,1.0,0.998,1.0,0.998,True,
2022-09-01,500,1,1.0,1.0,0.998,1.0,0.998,True,
2022-09-02,500,0,1.0,1.0,0.998,1.0,0.998,True,
2022-09-05,500,0,1.0,1.0,0.998,1.0,0.998,True,
2022-09-06,500,0,1.0,1.0,0.998,1.0,0.998,True,
2022-09-07,500,0,1.0,1.0,0.998,1.0,0.998,True,
2022-09-08,500,0,1.0,1.0,0.998,1.0,0.998,True,
2022-09-09,500,0,1.0,1.0,0.998,1.0,0.998,True,
2022-09-13,500,1,1.0,1.0,0.998,1.0,0.998,True,
2022-09-14,500,1,1.0,1.0,0.998,1.0,0.998,True,
2022-09-15,500,1,1.0,1.0,0.998,1.0,0.998,True,
2022-09-16,500,0,1.0,1.0,0.998,1.0,0.998,True,
2022-09-19,500,0,1.0,1.0,0.998,1.0,0.998,True,
2022-09-20,500,0,1.0,1.0,0.998,1.0,0.998,True,
2022-09-21,500,0,1.0,1.0,0.998,1.0,0.998,True,
2022-09-22,500,0,1.0,1.0,0.998,1.0,0.998,True,
2022-09-23,500,0,1.0,1.0,0.998,1.0,0.998,True,
2022-09-26,500,0,1.0,1.0,0.998,1.0,0.998,True,
2022-09-27,500,0,1.0,1.0,0.998,1.0,0.998,True,
2022-09-28,500,0,1.0,1.0,0.998,1.0,0.998,True,
2022-09-29,500,0,1.0,1.0,0.998,1.0,0.998,True,
2022-09-30,500,1,1.0,1.0,0.998,1.0,0.998,True,
2022-10-10,500,0,1.0,1.0,0.998,1.0,0.998,True,
2022-10-11,500,0,1.0,1.0,0.998,1.0,0.998,True,
2022-10-12,500,0,1.0,1.0,0.998,1.0,0.998,True,
2022-10-13,500,0,1.0,1.0,0.998,1.0,0.998,True,
2022-10-14,500,0,1.0,1.0,0.998,1.0,0.998,True,
2022-10-17,500,1,1.0,1.0,0.998,1.0,0.998,True,
2022-10-18,500,1,1.0,1.0,0.998,1.0,0.998,True,
2022-10-19,500,1,1.0,1.0,0.998,1.0,0.998,True,
2022-10-20,500,0,1.0,1.0,0.998,1.0,0.998,True,
2022-10-21,500,0,1.0,1.0,0.998,1.0,0.998,True,
2022-10-24,500,0,1.0,1.0,0.998,1.0,0.998,True,
2022-10-25,500,0,1.0,1.0,0.998,1.0,0.998,True,
2022-10-26,500,0,1.0,1.0,0.998,1.0,0.998,True,
2022-10-27,500,1,1.0,1.0,0.998,1.0,0.998,True,
2022-10-28,500,0,1.0,1.0,0.998,1.0,0.998,True,
2022-10-31,500,0,1.0,1.0,0.998,1.0,0.998,True,
2022-11-01,500,0,1.0,1.0,0.998,1.0,0.998,True,
2022-11-02,500,0,1.0,1.0,0.998,1.0,0.998,True,
2022-11-03,500,0,1.0,1.0,0.998,1.0,0.998,True,
2022-11-04,500,0,1.0,1.0,0.998,1.0,0.998,True,
2022-11-07,500,0,1.0,1.0,0.998,1.0,0.998,True,
2022-11-08,500,0,1.0,1.0,0.998,1.0,0.998,True,
2022-11-09,500,0,1.0,1.0,0.998,1.0,0.998,True,
2022-11-10,500,0,1.0,1.0,0.998,1.0,0.998,True,
2022-11-11,500,0,1.0,1.0,0.998,1.0,0.998,True,
2022-11-14,500,0,1.0,1.0,0.998,1.0,0.998,True,
2022-11-15,500,0,1.0,1.0,0.998,1.0,0.998,True,
2022-11-16,500,0,1.0,1.0,0.998,1.0,0.998,True,
2022-11-17,500,0,1.0,1.0,0.998,1.0,0.998,True,
2022-11-18,500,1,1.0,1.0,0.998,1.0,0.998,True,
2022-11-21,500,1,1.0,1.0,0.998,1.0,0.998,True,
2022-11-22,500,1,1.0,1.0,0.998,1.0,0.998,True,
2022-11-23,500,1,1.0,1.0,0.998,1.0,0.998,True,
2022-11-24,500,1,1.0,1.0,0.998,1.0,0.998,True,
2022-11-25,500,1,1.0,1.0,0.998,1.0,0.998,True,
2022-11-28,500,0,1.0,1.0,0.998,1.0,0.998,True,
2022-11-29,500,0,1.0,1.0,0.998,1.0,0.998,True,
2022-11-30,500,0,1.0,1.0,0.998,1.0,0.998,True,
2022-12-01,500,0,1.0,1.0,0.998,1.0,0.998,True,
2022-12-02,500,1,1.0,1.0,0.998,1.0,0.998,True,
2022-12-05,500,2,1.0,1.0,0.998,1.0,0.998,True,
2022-12-06,500,2,1.0,1.0,0.998,1.0,0.998,True,
2022-12-07,500,2,1.0,1.0,0.998,1.0,0.998,True,
2022-12-08,500,2,1.0,1.0,0.998,1.0,0.998,True,
2022-12-09,500,2,1.0,1.0,0.998,1.0,0.998,True,
2022-12-12,500,2,1.0,1.0,0.998,1.0,0.998,True,
2022-12-13,500,2,1.0,1.0,0.998,1.0,0.998,True,
2022-12-14,500,2,1.0,1.0,0.998,1.0,0.998,True,
2022-12-15,500,2,1.0,1.0,0.998,1.0,0.998,True,
2022-12-16,500,1,1.0,1.0,0.998,1.0,0.998,True,
2022-12-19,500,1,1.0,1.0,0.998,1.0,0.998,True,
2022-12-20,500,1,1.0,1.0,0.998,1.0,0.998,True,
2022-12-21,500,2,1.0,1.0,0.998,1.0,0.998,True,
2022-12-22,500,1,1.0,1.0,0.998,1.0,0.998,True,
2022-12-23,500,1,1.0,1.0,0.998,1.0,0.998,True,
2022-12-26,500,1,1.0,1.0,0.998,1.0,0.998,True,
2022-12-27,500,1,1.0,1.0,0.998,1.0,0.998,True,
2022-12-28,500,1,1.0,1.0,0.998,1.0,0.998,True,
2022-12-29,500,1,1.0,1.0,0.998,1.0,0.998,True,
2022-12-30,500,2,1.0,1.0,0.998,1.0,0.998,True,
2023-01-03,500,2,1.0,1.0,0.998,1.0,0.998,True,
2023-01-04,500,2,1.0,1.0,0.998,1.0,0.998,True,
2023-01-05,500,2,1.0,1.0,0.998,1.0,0.998,True,
2023-01-06,500,2,1.0,1.0,0.998,1.0,0.998,True,
2023-01-09,500,3,1.0,1.0,0.998,1.0,0.998,True,
2023-01-10,500,1,1.0,1.0,0.998,1.0,0.998,True,
2023-01-11,500,1,1.0,1.0,0.998,1.0,0.998,True,
2023-01-12,500,2,1.0,1.0,0.998,1.0,0.998,True,
2023-01-13,500,1,1.0,1.0,0.998,1.0,0.998,True,
2023-01-16,500,0,1.0,1.0,0.998,1.0,0.998,True,
2023-01-17,500,0,1.0,1.0,0.998,1.0,0.998,True,
2023-01-18,500,0,1.0,1.0,0.998,1.0,0.998,True,
2023-01-19,500,0,1.0,1.0,0.998,1.0,0.998,True,
2023-01-20,500,0,1.0,1.0,0.998,1.0,0.998,True,
2023-01-30,500,0,1.0,1.0,0.998,1.0,0.998,True,
2023-01-31,500,0,1.0,1.0,0.998,1.0,0.998,True,
2023-02-01,500,1,1.0,1.0,0.998,1.0,0.998,True,
2023-02-02,500,1,1.0,1.0,0.998,1.0,0.998,True,
2023-02-03,500,1,1.0,1.0,0.998,1.0,0.998,True,
2023-02-06,500,1,1.0,1.0,0.998,1.0,0.998,True,
2023-02-07,500,1,1.0,1.0,0.998,1.0,0.998,True,
2023-02-08,500,2,1.0,1.0,0.998,1.0,0.998,True,
2023-02-09,500,2,1.0,1.0,0.998,1.0,0.998,True,
2023-02-10,500,2,1.0,1.0,0.998,1.0,0.998,True,
2023-02-13,500,2,1.0,1.0,0.998,1.0,0.998,True,
2023-02-14,500,2,1.0,1.0,0.998,1.0,0.998,True,
2023-02-15,500,1,1.0,1.0,0.998,1.0,0.998,True,
2023-02-16,500,1,1.0,1.0,0.998,1.0,0.998,True,
2023-02-17,500,0,1.0,1.0,0.998,1.0,0.998,True,
2023-02-20,500,0,1.0,1.0,0.998,1.0,0.998,True,
2023-02-21,500,0,1.0,1.0,0.998,1.0,0.998,True,
2023-02-22,500,0,1.0,1.0,0.998,1.0,0.998,True,
2023-02-23,500,0,1.0,1.0,0.998,1.0,0.998,True,
2023-02-24,500,0,1.0,1.0,0.998,1.0,0.998,True,
2023-02-27,500,0,1.0,1.0,0.998,1.0,0.998,True,
2023-02-28,500,0,1.0,1.0,0.998,1.0,0.998,True,
2023-03-01,500,0,1.0,1.0,0.998,1.0,0.998,True,
2023-03-02,500,0,1.0,1.0,0.998,1.0,0.998,True,
2023-03-03,500,0,1.0,1.0,0.998,1.0,0.998,True,
2023-03-06,500,0,1.0,1.0,0.998,1.0,0.998,True,
2023-03-07,500,0,1.0,1.0,0.998,1.0,0.998,True,
2023-03-08,500,0,1.0,1.0,0.998,1.0,0.998,True,
2023-03-09,500,0,1.0,1.0,0.998,1.0,0.998,True,
2023-03-10,500,0,1.0,1.0,0.998,1.0,0.998,True,
2023-03-13,500,0,1.0,1.0,0.998,1.0,0.998,True,
2023-03-14,500,0,1.0,1.0,0.998,1.0,0.998,True,
2023-03-15,500,0,1.0,1.0,0.998,1.0,0.998,True,
2023-03-16,500,0,1.0,1.0,0.998,1.0,0.998,True,
2023-03-17,500,0,1.0,1.0,0.998,1.0,0.998,True,
2023-03-20,500,0,1.0,1.0,0.998,1.0,0.998,True,
2023-03-21,500,0,1.0,1.0,0.998,1.0,0.998,True,
2023-03-22,500,0,1.0,1.0,0.998,1.0,0.998,True,
2023-03-23,500,0,1.0,1.0,0.998,1.0,0.998,True,
2023-03-24,500,0,1.0,1.0,0.998,1.0,0.998,True,
2023-03-27,500,0,1.0,1.0,0.998,1.0,0.998,True,
2023-03-28,500,0,1.0,1.0,0.998,1.0,0.998,True,
2023-03-29,500,0,1.0,1.0,0.998,1.0,0.998,True,
2023-03-30,500,0,1.0,1.0,0.998,1.0,0.998,True,
2023-03-31,500,0,1.0,1.0,0.998,1.0,0.998,True,
2023-04-03,500,0,1.0,1.0,0.998,1.0,0.998,True,
2023-04-04,500,0,1.0,1.0,0.998,1.0,0.998,True,
2023-04-06,500,0,1.0,1.0,0.998,1.0,0.998,True,
2023-04-07,500,0,1.0,1.0,0.998,1.0,0.998,True,
2023-04-10,500,0,1.0,1.0,0.998,1.0,0.998,True,
2023-04-11,500,0,1.0,1.0,0.998,1.0,0.998,True,
2023-04-12,500,0,1.0,1.0,0.998,1.0,0.998,True,
2023-04-13,500,0,1.0,1.0,0.998,1.0,0.998,True,
2023-04-14,500,0,1.0,1.0,0.998,1.0,0.998,True,
2023-04-17,500,1,1.0,1.0,0.998,1.0,0.998,True,
2023-04-18,500,0,1.0,1.0,0.998,1.0,0.998,True,
2023-04-19,500,0,1.0,1.0,0.998,1.0,0.998,True,
2023-04-20,500,0,1.0,1.0,0.998,1.0,0.998,True,
2023-04-21,500,0,1.0,1.0,0.998,1.0,0.998,True,
2023-04-24,500,0,1.0,1.0,0.998,1.0,0.998,True,
2023-04-25,500,0,1.0,1.0,0.998,1.0,0.998,True,
2023-04-26,500,1,1.0,1.0,0.998,1.0,0.998,True,
2023-04-27,500,1,1.0,1.0,0.998,1.0,0.998,True,
2023-04-28,500,1,1.0,1.0,0.998,1.0,0.998,True,
2023-05-04,500,2,1.0,1.0,0.998,1.0,0.998,True,
2023-05-05,500,0,1.0,1.0,0.998,1.0,0.998,True,
2023-05-08,500,0,1.0,1.0,0.998,1.0,0.998,True,
2023-05-09,500,0,1.0,1.0,0.998,1.0,0.998,True,
2023-05-10,500,0,1.0,1.0,0.998,1.0,0.998,True,
2023-05-11,500,0,1.0,1.0,0.998,1.0,0.998,True,
2023-05-12,500,0,1.0,1.0,0.998,1.0,0.998,True,
2023-05-15,500,0,1.0,1.0,0.998,1.0,0.998,True,
